effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2016-02-11,2016-02-10,True,False,KSS,ILMN,ARG | FSLR | GMCR | KSS | MYL,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KSS:0.1000000000 | MYL:0.1000000000,0.5,0.5
2016-02-19,2016-02-18,True,False,MNK,MYL,ARG | FSLR | GMCR | KSS | MNK,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KSS:0.1000000000 | MNK:0.1000000000,0.5,0.5
2016-02-26,2016-02-25,True,False,BXLT | MAT | WYNN,ARG | KSS | MNK,BXLT | FSLR | GMCR | MAT | WYNN,BXLT:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | MAT:0.1000000000 | WYNN:0.1000000000,0.5,0.5
2016-03-03,2016-02-25,False,True,,GMCR,BXLT | FSLR | MAT | WYNN,BXLT:0.1000000000 | FSLR:0.1000000000 | MAT:0.1000000000 | WYNN:0.1000000000,0.4,0.6
2016-03-04,2016-03-03,True,False,COG | KORS,WYNN,BXLT | COG | FSLR | KORS | MAT,BXLT:0.1000000000 | COG:0.1000000000 | FSLR:0.1000000000 | KORS:0.1000000000 | MAT:0.1000000000,0.5,0.5
2016-03-11,2016-03-10,True,False,SWN,BXLT,COG | FSLR | KORS | MAT | SWN,COG:0.1000000000 | FSLR:0.1000000000 | KORS:0.1000000000 | MAT:0.1000000000 | SWN:0.1000000000,0.5,0.5
2016-03-18,2016-03-17,True,False,NEM | RRC,FSLR | MAT,COG | KORS | NEM | RRC | SWN,COG:0.1000000000 | KORS:0.1000000000 | NEM:0.1000000000 | RRC:0.1000000000 | SWN:0.1000000000,0.5,0.5
2016-03-28,2016-03-24,True,False,ADT,RRC,ADT | COG | KORS | NEM | SWN,ADT:0.2000000000 | COG:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | SWN:0.2000000000,1.0,0.0
2016-04-04,2016-04-01,True,False,FCX,SWN,ADT | COG | FCX | KORS | NEM,ADT:0.2000000000 | COG:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000,1.0,0.0
2016-04-11,2016-04-08,True,False,,,ADT | COG | FCX | KORS | NEM,ADT:0.1000000000 | COG:0.1000000000 | FCX:0.1000000000 | KORS:0.1000000000 | NEM:0.1000000000,0.5,0.5
2016-04-18,2016-04-15,True,False,,,ADT | COG | FCX | KORS | NEM,ADT:0.2000000000 | COG:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000,1.0,0.0
2016-04-25,2016-04-22,True,False,WYNN,COG,ADT | FCX | KORS | NEM | WYNN,ADT:0.2000000000 | FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | WYNN:0.2000000000,1.0,0.0
2016-05-02,2016-04-29,True,True,,ADT,FCX | KORS | NEM | WYNN,FCX:0.2000000000 | KORS:0.2000000000 | NEM:0.2000000000 | WYNN:0.2000000000,0.8,0.2
2016-05-09,2016-05-06,True,False,HES | MRO | NFX,KORS | NEM,FCX | HES | MRO | NFX | WYNN,FCX:0.2000000000 | HES:0.2000000000 | MRO:0.2000000000 | NFX:0.2000000000 | WYNN:0.2000000000,1.0,0.0
